,ARS,지하철역
1057,4189,뚝섬유원지
1058,4190,건대입구
1059,4191,뚝섬유원지
1060,4192,성수
1061,4193,성수
1062,4194,성수
1063,4195,성수
1064,4196,성수
1065,4197,성수
1066,4198,성수
1067,4199,성수
1068,4200,성수
1069,4201,성수
1070,4202,성수
1071,4203,성수
1072,4204,성수
1073,4205,뚝섬유원지
1074,4206,뚝섬유원지
1075,4207,어린이대공원(세종대)
1076,4208,건대입구
1077,4209,건대입구
1078,4210,성수
1079,4211,성수
1080,4212,성수
1081,4213,성수
1082,4214,어린이대공원(세종대)
1083,4215,군자(능동)
1084,4216,군자(능동)
1085,4217,신답
1086,4218,답십리
1087,4221,장한평
1088,4222,뚝섬
1089,4223,뚝섬
1090,4226,용답
1091,4227,용답
1092,4228,한양대
1093,4229,한양대
1094,4230,한양대
1095,4231,한양대
1096,4232,한양대
1097,4233,한양대
1098,4234,용답
1099,4236,뚝섬
1100,4237,뚝섬
1101,4238,뚝섬
1102,4239,뚝섬
1103,4240,성수
1104,4241,뚝섬
1105,4242,뚝섬
1106,4243,뚝섬
1107,4244,뚝섬
1108,4245,성수
1109,4246,뚝섬
1110,4247,한양대
1111,4252,상왕십리
1112,4253,성수
1113,4254,뚝섬
1114,4255,뚝섬
1115,4256,성수
1116,4257,성수
1117,4258,한양대
1118,4259,한양대
1119,4261,신설동
1120,4264,뚝섬
1121,4265,뚝섬
1122,4266,뚝섬
1123,4267,신답
1124,4268,신답
1125,4269,성수
1126,4270,옥수
1127,4271,마장
1128,4272,행당
1129,4273,상왕십리
1130,4275,신금호
1131,4276,신금호
1132,4277,신금호
1133,4278,신금호
1134,4279,행당
1135,4280,행당
1136,4281,행당
1137,4282,옥수
1138,4286,성수
1139,4288,뚝섬유원지
1140,4289,신당
1141,4290,상왕십리
1142,4291,뚝섬유원지
1143,4293,어린이대공원(세종대)
1144,4295,신당
1145,4298,마장
1146,4301,왕십리(성동구청)
1147,4302,왕십리(성동구청)
1148,4303,한양대
1149,4304,신당
1150,4305,한양대
1151,4306,한양대
1152,4500,어린이대공원(세종대)
1153,4501,버티고개
1154,4502,금호
1155,4503,금호
1156,4504,신금호
1157,4505,옥수
1158,4506,어린이대공원(세종대)
1159,4507,금호
1160,4508,신금호
1161,4509,신금호
1162,4510,왕십리(성동구청)
1163,4511,옥수
1164,4512,어린이대공원(세종대)
1165,4513,금호
1166,4514,신금호
1167,4515,신금호
1168,4516,행당
1169,4517,금호
1170,4518,어린이대공원(세종대)
1171,4519,옥수
1172,4520,금호
1173,4521,금호
1174,4522,신금호
1175,4523,신금호
1176,4524,행당
1177,4526,어린이대공원(세종대)
1178,4527,옥수
1179,4528,금호
1180,4529,신금호
1181,4530,행당
1182,4531,행당
1183,4533,성수
1184,4535,금호
1185,4536,신금호
1186,4538,행당
1187,4539,신금호
1188,4540,성수
1189,4541,옥수
1190,4542,행당
1191,4544,행당
1192,4545,행당
1193,4546,신금호
1194,4547,성수
1195,4548,옥수
1196,4549,행당
1197,4550,금호
1198,4551,신금호
1199,4552,행당
1200,4553,행당
1201,4554,신금호
1202,4555,성수
1203,4556,행당
1204,4557,금호
1205,4559,행당
1206,4560,신금호
1207,4561,성수
1208,4562,옥수
1209,4563,행당
1210,4564,금호
1211,4565,금호
1212,4566,금호
1213,4567,행당
1214,4569,성수
1215,4570,옥수
1216,4572,금호
1217,4573,금호
1218,4574,왕십리(성동구청)
1219,4575,행당
1220,4577,성수
1221,4578,옥수
1222,4579,행당
1223,4582,신금호
1224,4583,옥수
1225,4584,행당
1226,4585,왕십리(성동구청)
1227,4586,신금호
1228,4587,금호
1229,4588,상왕십리
1230,4589,행당
1231,4590,상왕십리
1232,4591,신금호
1233,4593,상왕십리
1234,4594,금호
1235,4595,용두(동대문구청)
1236,4596,신금호
1237,4597,어린이대공원(세종대)
1238,4598,상왕십리
1239,4599,금호
1240,4600,용두(동대문구청)
1241,4602,신금호
1242,4603,신당
1243,4615,어린이대공원(세종대)
1244,4648,신금호
1245,4650,마장
1246,4651,신금호
1247,4658,신금호
1248,4659,어린이대공원(세종대)
1249,4667,신금호
1250,4668,왕십리(성동구청)
1251,4669,신금호
1252,4670,어린이대공원(세종대)
